English,Nyishi
He tried to attract her attention ,Mwv mwnwn mwam kaaby koodub nyikanum
He tried to make up for lost time ,Hog nyimab wwkbo moodgabkam nyidub mwv nyikanum
He tried to pull a fast one on me ,Mwv otuqjaqb ngam pudub nyikanum
He turned over a new leaf in life ,Mwv mwwg nit swwg ak swwrob kaado
He undertook a great deal of work ,Mwv kooijaqb boon ak nyirobdvb hvl nyido
He uses the same books as you use ,Mwv noqg poorynam ak hoqg kitap taqg ham mwvkam poorydo
He visited many countries in Asia ,Mwv Esiyaso gvvda vigo wwl kaanum
He wants to live closer to nature ,Mwv nyook nyoora lvgab kooiyab swwdo
He wants us to free the prisoners ,Mwv ngulam pvtw hoqg doonbo tuulungam opaqjisv hvl mwwdo
He was at the bottom of the class ,Mwv klasho niikumjaqho doodo
He was exhausted when he got home ,Mwv hvdlonam ho haaikun mwv ngaadku
He was fortunate to pass the exam ,Mwv ekjamam paaskugab xinamjaqgo
He was given an important mission ,Mwam xinamja boon nyis ak jipa
He was in good health last summer ,Kenlwg dug poolho mwwg wwngv aljaqnum
He was in the hospital for a week ,Mwv hospitolho kvn akgob doonum
He was jealous of their happiness ,Mwv bulug hempnamam kaabynum
He was raised by his grandparents ,Mwam mwwg abwg an-abv sorobnum
He was satisfied with his new car ,Mwv mwwg nit kaar lvgab xumtnum
He was scared you would shoot him ,Mwv mwam abyadeela hvl nam bosdub nyilamnum
"He was sick, so he did not go out ","Mwv vc cil doonum, hoqgab mwv agub lengmanum"
He was sitting and reading a book ,Mwv dootwl ho kitap ak pooryl doonum
He was so angry he couldn't speak ,Mwv vcloodab haang lengknum hoqgab mwv hog ak kam goocin kumab nyinum
He was the leader of the movement ,Mwv nitub nyirob gvnam hoqg nyigbo akv
He was unconscious for three days ,Mwv aal loumgob hog cengskumab dooknum
He was visiting his foster mother ,Mwv mwam sonbo anam kaatab wwnum
He went by me without noticing me ,Mwv ngoqg dookub ngam kaapa mvmadub wwmin gvnum
He went out in spite of the storm ,Doogum dooyv nyis jaqkam mwv agub lengnum
He went out of his way to help me ,Mwv ngam svkatab mwwg lamta hoqgv asaqb wwnum
He went to Paris by car yesterday ,Mwv mooyo kar lvgab Paarisb wwnum
He went to the hospital yesterday ,Mwv mooyo hospitolob wwnum
He whispered something in her ear ,Mwv mwnwg nyuruho hog ak jabsnum
He whispered the answer in my ear ,Mwv birwq sanamam ngoqg nyuruho jabsnum
He will advise you on that matter ,Mwv nam hoqg pagoqkam tomswrtayin
He will come back sooner or later ,Nyibia bvjaqkam ho kookw ngam jaqkam mwv hookur tayin
He will come into a large fortune ,Mwv kooijaqg nvtaq namub haatayin
He will do anything to make money ,Twngkgab mwv hogvjaqkam nyitayin
He will go to New York next month ,Mwv haatadvn pool ol Niyu Yorkub wwtayin
He will pass the next examination ,Mwv akwn oloqg ekjam olo paastayin
He will write an answer very soon ,Mwv nyibiajaqb birwq sanam ham xeqrwqtayin
He will write for hours at a time ,Mwv mood akinam swlw duur epygob xeqtayin
He won a sizeable amount of money ,Mwv xilamaanamgob mvyal naapa
He worked from morning till night ,Mwv sor komc hoqgv kan namgob boon nyinum
He works as a gondolier in Venice ,Mwv Beenisho gondoli nyinbo akvb boon nyinum
He works hard and never complains ,Mwv ator jaqb boon nyidwn ho lwgkam nyiram hvl bemadvn
He'll be taking an exam next week ,Mwv haatadvn kvn olo ekjam naatayin
He'll catch up with us in an hour ,Mwv ngulam swlw duur ak kookwngam wwtintayin
He's a little taller than you are ,Mwv nam aniogo ao yaatwqdo
He's a man of very good character ,Mwv nyij-wwjv aljaqb nyinbogo
He's afraid that he might be late ,Mwv haanyu tayi hvl bospa
He's concealing something from me ,Mwv ngoqg hoqgv hog meeg mvpaq gvdo
He's eating breakfast in the cafe ,Mwv hotel v dvbeq dvl doodo
He's going to have a heart attack ,Mwv haang juqtub tado
He's intelligent and good-looking ,Mwv mwwlaqbo ho kaangam jaqnbo akgo
He's married to an American woman ,Mwv Amirika nyem ak nyem naapa
He's often mistaken for a student ,Mwam lwxiam honynam akvb mwwpkeedwn
He's old enough to be your father ,Mwv noqg abub nyekam jaqpaku
He's two years older than Mary is ,Mwv Meerin vnyi nyiinygo akam yaapan
He's wearing a white cotton shirt ,Mwv puulubo svcaq vj ak gvdo
"Help yourself to the cake, please ",Keek mvdub no atv svka suto
"Help yourself to the cookies, Tom ","Tom, kuukis mvdub no atv svkasuto"
Her answer couldn't be understood ,Mwnwg birwqnamv hog tadarlamado
Her anxiety almost drove her wild ,Mwnwg mwwdwqnamv mwnwn rugaq tagdo
Her beauty was beyond description ,Mwnwg kaangamam hog ak kam beclama
Her boyfriend looks like a monkey ,Mwnwg nyegako ajin hv seby jaqhvb nyido
Her death was a great shock to me ,Mwnwg sinamv ngam vcloodab lomdwb nyipa
Her mother always accompanies her ,Mwnwg anv lwxiam mwnwn wwmin gvdwn
Her new hairstyle covers her ears ,Mwnwg nitbo duum kwqnamv mwnwg nyurungam mvlupdo
Here is a photograph of my family ,Soqsi ngoqg imiqg gusv
Here's some medicine for diarrhea ,Ayeq toonbo vcgab si meeg dubaiv doodo
Here's someone I want you to meet ,Ngo nam nyi ak kaapaminsmvmdub mwwnam soq aksipa
"Hey, Tom, can I ask you something?","Tomv, ngo nam hog ak tox kaakas i?"
His behavior is sometimes strange ,Mwwg nyinam wwnamv lwgwn uklodasudo
His behavior is worthy of respect ,Mwg nyinam wwnamv paqd loodab nyijpa
His brave deed earned him respect ,Mwwg atorjaqb nyinamv mwam xidub nyijdo
His brother goes to school by bus ,Mwwg borv baasub iskul wwdwn
His condition got worse every day ,Mwwg vcv loogtata vcyayal wwl doodo
His family didn't have much money ,Mwwg imiqkv twnk vigo dooma
His help came in the nick of time ,Mwwg svkanamv moodjaqho haajpa
His house was struck by lightning ,Mwwg namam tayamv byoqdapa
His letter doesn't make any sense ,Mwwg pui xeqnamhv hog ak kam tadardub xeqma
His office is on the eighth floor ,Mwwg opisv nam haqtam piin aotv doodwn
His policies were too progressive ,Mwwg bel nyignamv aljaqb nyiqtu lengvdo
His position enabled him to do so ,Mwwg dootamhv mwam nyimdub jido
His sleeve touched the greasy pan ,Mwwg laqyapv kacboam mvneqpa
His son had been killed in a duel ,Mwwg nyega koam lwnyho mengpa
His speech impressed us very much ,Mwwg goonamv ngulam tvlwq loodadub bepa
His theory deserves consideration ,Mwwg mwwl benamhv tvlwq loodado
His voice was heard above the din ,Mwwg goonamv tadar taparmadub dudo
His wealth has not made him happy ,Mwwg gumnv mwam hempdub mvma
"His work finished, he went to bed ","Mwwg boonam nyiyumpekul, mwv yubtakub wwnkuba"
How about dining out for a change?,Kwlygab agub lengl oyum dvnamhv hogub nyipa?
How about something cold to drink?,Hvyiq twwnam pagoqhv hogub nyipa?
How are you and Tom getting along?,Noola Tom nunyv hogub nyil doobasudo?
How are you going to convince Tom?,Tomwn no hogub nyil benyubtayin?
How can I know if a girl likes me?,Ngam nyemko ak abydo hvl ngo hogub cengtayin?
How can I tell if a girl likes me?,Ngam nyemko ak abybalo ngo hogub betayin?
How can you justify your behavior?,Noqg nyij wwjv aldo hvl hogub no belatayin?
How come this never happens to me?,Hoggabyu soqsi ngam lwgkam haamadvnyu?
How dare you talk to me like that!,Hog atorv no ngam hvb gookadvn!
How did Tom cope with the problem?,Tom vs-axaqkam hogub nyil wwgdvnyu?
How did you come by this painting?,Hogub nyil no soq tojsam mvl mvpan?
How did you find out where I live?,Ngo hogloho doopan ham no hogub nyil hwwpapan?
How did you get interested in art?,Hogub nyil no gus mvnam ham hwrcipan?
How did you get so good at French?,Pranc agum ham no hogub nyil hvdgo goolaqdvn?
How did you hit upon such an idea?,Hogub nyil no hvdgo aljaqb mwwlinpan?
How did you know his name was Tom?,Mwwg eminv Tom hvl no hogub cengpan?
How did you know where to find me?,Hogloho ngam kaapatayin hvl no hogub cengnum?
How did you learn to cook so well?,Hwdgo dvngamdub no hogub nyil mvlaqpan?
How did you pay for this computer?,Hogub nyil no soq kompyutarsam rvpan?
How do we get back home from here?,Soqgv hogub nyil ngulv namub wwpakun?
How do we know that he's innocent?,Mwv nyimurma hvl hogub no cengpan?
How do you intend to achieve that?,Ham kaapadub no hogub tuugabjaqb nyinum?
How do you intend to achieve this?,Ham kaapadub no hogub tuugabjaqb nyinum?
How do you know they're Canadians?,Bulv Kanada nyiv hvl no hogub cengpan?
How do you know this car is Tom's?,Soq kaarsi Tomgv hvl no hogub cengpan?
How do you know what I'm thinking?,Ngo hogv mwwdo ham no hogub cengpan?
How do you say  thanks  in French?,"Pranc agumho ""paqyaco"" hvl benam ham hog hvdwn?"
How do you spell your family name?,Noqg nyob hoqg emin gomciram hogub nyil bedwn?
How familiar are you with my case?,Ngoqg mvlsam no hog hvdgob cengpa?
How far is it from here to Boston?,Soqgv Bostonxab hwdgo aadodvn?
How important are children to you?,Noqgab kov hwdgo xinamdo?
How is your first name pronounced?,Noqg otuq eminam hogub goodwn?
How long are you planning to stay?,No hwdgo doodub mwwdwn?
How long can you hold your breath?,No hwdgo saqmab dooladvn?
How long did you sleep last night?,Muyig aiho hvdgo no yubnum?
How long do you plan to stay here?,No so hvdgo doodub mwwdwn?
How long has Tom been in the cave?,Tom lwwpwqho hvdgob doonum?
How long have you lived in Boston?,No Bostonho hvdgob dootwn?
How long were you and Tom married?,Noola Tom nuny hvd otuqho nyem-nyega naabasuknum?
How long were you at school today?,Soolo iskulho no hvdgob yvpen?
How long will you be staying here?,No so hvdgob dootayin?
How long you can stand on one leg?,Al lvkinho no hvdgob daqlatayin?
How lucky! There's nothing broken ,Hwdgo nvtaqpa! Olo hog ak kam dwrtujima
How many days are there in a week?,Kvnho hvd aalgo doodwn?
How many hours a day do you sleep?,Aal loogam hvd swlw duurgob no yubdwn?
How many hours a week do you work?,Kvnwg pengkoho no hvd swlw duurgob no boon nyidwn?
How many months can you stay here?,So no hvd poolgob doolatayin?
How many people are at this party?,Soq dookumso nyiv hvdgo doodo?
How many people are you expecting?,Hvdgo nyiv haainup hvl no mwwdo?
How many photos are in this album?,Soq gus apnanso hvd gusgo doodo?
How many times have you done this?,Sam no hvd moodgo nyitwn?
How much distance have we covered?,Hvd aadogo ngulv wwtkuba?
How much do ten paper plates cost?,Pota huku tvqyig korv hvdgo wwdwn?
How much does Tom know about Mary?,Tom Meerig pagoqkam hvdgo cengpa?
How much does a soccer ball weigh?,Lvlum soonam hoqg akv hvdgo vvidvn?
How much does your daughter weigh?,Noqg nyemko ak hv hvdgo vvidvn?
How much is your monthly gas bill?,Noqg pool bvrpwg dooi biilv hvd dvn?
How much money do you have on you?,Noqg lvgab twnkv hvdgo doodo?
How often do you brush your teeth?,Noqg exyam hvd moodgo no mvxaqdvn?
How often do you check your email?,Noqg i-meelam hwdgo no kaakydvn?
How will Tom get out of that mess?,Hoqg vs-axaq hoqgv hogub nyil Tom swrsotaikun?
Human beings are social creatures ,Nyia kov gutu-gora nyiib swwnbov
Hurry up! The concert is starting ,Nyibiajab! Nwrl sooka sunamv nyirobtadku
"Hurry up, or we'll miss the train ","Nyibiajab, hvbmalo ngulv terenam wwplakram"
I accidentally deleted everything ,Mwwdarkumab ngo mwlwngam tixatukba
I admit that I was a little drunk ,Ngo meeg twwxumnum hvl loodo
I almost didn't do that yesterday ,Ngo mooyo ham micung gootalo nyimab nyidatatkun
I almost forgot to do my homework ,Ngoqg namho nyixam mwwpamab nyidatatkuba
I almost never get what I ask for ,Ngoqg konamam meegtalo lwgkam kaapamab nyidatatba
I always knew this day would come ,Ngo lwxiam cengpa soq aalsi haatayinbo hvl
I am ashamed of my son's laziness ,Ngoqg nyegakoog jaama namgab ngo hvnyi jaqpa
I am complaining to the principal ,Ngo prinsipalwn alub nyima hvl yoludvn
I am determined to be a scientist ,Ngo sayintist nyidub mwwbwqlooda gvikun
I am fed up with his vulgar jokes ,Ngo soqg kac tvnw nyirdub nyinam benam sam tvnwloodakuma
I am fed up with this wet weather ,Ngo soqg nyod bwji-bvma hol nyinamsam henw loodakuma
I am glad that you have succeeded ,Ngo hempdo no nyiqtu nyilin koogab
I am happy that you are my friend ,No ngoqg ajinb nyigumgab hempjaqpa
I am looking forward to Christmas ,Ngo Kristmasam kaayal doodwn
I am no more excited than you are ,Ngo noqg hvdgo hemp-hvnyir lakma
I am not about to pay ten dollars ,Ngo doolar vyigob hiqram
I am not going anywhere on Sunday ,Ngo Doony aalam hoglokam wwram
I am not what I was ten years ago ,Ngo vnyi nyiiyw otuqhoqhvb nyikma
I am pleased to help you if I can ,Ngo nam svkalabalo hempjaqkindo
I am putting on weight these days ,Ngo soq mood tuuluso vigo vvidub nyidudvn
I am ready to do anything for you ,Ngo noqgab hogbvjaqkam nyidub mwwl doodwn
I am responsible for this failure ,Soqg niqtuq lengmanamsi ngoqg nyimurgabjipa
I am studying Chinese and Spanish ,Ngo Cainis ho Ispenis ham pooryl doodwn
I am sure I saw her two years ago ,Ngo jvqtwjab bedwn ngo mwnwn vnyi nyiiny otuqho kaapatvn
I am sure of his passing the exam ,Ngo jvqtwjab bedwn mwv ekjamam paastayin hvl
I am sure we have a lot in common ,Ngo jvqtwjab belado ngulv ayin sunamv vigo doodo
I am who I am thanks to my mother ,Ngo hiyv ngo paqyaco paqdwn ngoqg anwn
I applied for a summer internship ,Ngo dug poolam nyikal nyinam boon gab nyidub kopan
I arrived here about five o'clock ,Ngo so wm swlw duur angho wwckunum
I asked Tom how his job was going ,Ngo Tomwn boon nyinamv hogbvxe nyidudo hvl toxnum
I asked Tom if he wanted to drive ,Tomwn xarkatainvi hvl ngo toxnum
I asked Tom what he wanted to eat ,Tom hogam dvnwdo hvl ngo toxnum
I asked Tom where he wanted to go ,Tom hoglob wwnwdo hvl ngo toxnum
I asked him to lend me some money ,Mwam meeg twnklo nvrwq tubwk hvl ngo konum
I asked myself that same question ,Ngo atam hoqg toxnam akin ham toxsunum
I asked the doctor some questions ,Ngo doktoram meeg takanum
I asked you not to play with that ,Hoqlvgab nam soonyok hvl ngo betwn
I assume you still live in Boston ,Ngo nam Bostonho hvraqb dooxedvnlo hvl mwwtwn
I assume you're talking about Tom ,Nam Tomwg pagoqkam bednvlo hvl ngo mwwtwn
I assure you that isn't necessary ,Ngo jvqtwjaqb bedwn hoqhv hog nyidubja nyima hvl
I avoid going there late at night ,Ngo olo ai kanam wwdub opaqpakun
I believe I can help you find Tom ,Ngo mwjwdo Tomwn hwwlindub nam svkalatayin hvl
I believe it is a genuine Picasso ,Ngo mwjwdo soqsi aljaqnbo pikasogo hvl
I believe they're a perfect match ,Bulb aljaqb soonbo ngv hvl ngo mwjwdo
I bought a car in Derry yesterday ,Mooyo Deeriho ngo kaar ak rvnum
I bought a smartphone for my wife ,Ngoqg nywxwgab ngo ismart pun ak rvjnum
I bought it at a department store ,Ngo sam dipartment noosu hoqgv rvnum
I bought the book for ten dollars ,Ngo kitap ham doolar vyigo jil rvnum
"I broke his heart, but I love him ","Ngo mwwg haangam hoxiamvnum, hvbmab ngo mwam abydvn"
I broke my arm when I was a child ,Ngoqg hvm hoyin nyiyikho ngo ngoqg laqpongam mvtwr sunum
I burned my fingers on a hot iron ,Ngo ngoqg lvqcingam ogbo dvvciho yaqbyakoonum
I called him a coward to his face ,Ngo mwwg nyuqmam pacabov hvl mwwn goqnum
I came here to give you something ,Ngo so nam hog ak jitab haanum
I came here to tell you something ,Ngo so nam hog ak betomtab haanum
I came here to warn you about Tom ,Ngo so nam Tomwg hoqgv hengab sutka hvl betab haanum
I can barely sleep at all anymore ,Ngo hwdlojakam hog ak kam pamab yubladvn
I can both speak and write French ,Ngo Prancam xeqgamamkam ho begamamkam belaqdvn
I can get you everything you need ,No hogvxe nvvnwdvn ham ngo naaj latayin
I can meet you at the bus station ,Ngo nam baas xarnumkoho kaapalatayin
I can see Tom wasn't exaggerating ,Tom bebo beloma hvl ngo kaapalatayin
I can see the top of the mountain ,Ngo puutu niqtuqkam kaapalatayin
I can't bear the noise any longer ,Ngo sud subin namam meegkam talakuma
I can't believe I listened to you ,Ngo noqg benamam tapan hvl mwjwma
I can't believe Tom remembered me ,Tom ngam mwwpadvnup hvl mwwjwma
I can't believe Tom still uses it ,Tom sam sijaxab nyin nadnup hvl ngo mwwjwma
I can't buy a book this expensive ,Swd korho ngo kitap taqgsam rvlaram
I can't decide where to eat lunch ,Hogloho ngo aal dvnam ecinam dvtayinyu hvl bebwqlama
I can't decide which house to buy ,Hoglo nam ak ham rvstainvyu ham ngo bebwqlama
I can't drive Tom to school today ,Soolo ngo Tomwn iskulub gaariho baqlaram
I can't even remember my own name ,Ngo atwg eminamkam mwwgab lama
I can't find what I'm looking for ,Ngo hogam kaakwrdvn ham kaapalama
I can't give you the answer today ,Soolo ngo noqg toxnam ham birwqdub nyima
I can't hear a word Tom is saying ,Tomwg benamam ngo gamgkam tvnwma
I can't imagine a day without you ,No doomayin ngo aal loogkam doolayin hvl mwwclama
I can't let you go in there alone ,Nam oloqb vpub ngo wwmlaram
I can't lift this  It's too heavy ,Ngo sam jooroblama  Si vcjaqb vvido
I can't make a decision on my own ,Ngo atv atam hog ak kam bibwqlama
I can't make that kind of promise ,Ngo hoqhvb dingnamam ngo dinglaram
I can't predict what might happen ,Hogv nyitayi ham ngo hog ak kam beolama
I can't promise Tom won't be back ,Tom haakur kuram hvl ngo dingrlajdeema
I can't put up with it any longer ,Ngo sam hwdgo tuucalakram
I can't put up with these insults ,Ngo hoqg benybeyanamam tanylakram
I can't raise our child by myself ,Ngo ngulug ko tuulungam ngo atv soroblakram
