English,Tagin
you are eating rice again,no achin dvdu kuri
Feel free to say no,ma hvnam vm sosor-bvyor bv minto
by kicking and deforming you,dukup-dulik mvtv la
the cloth is torn by mouse,kobu ngv iji ha twksik ro
throw away the decayed meat,addin yaabu ha hara to
yaro ate yapa's food,Yaro Yapa gv achina dvchar do
You must be joking!,no minyar ka pvso!
tara can kick the football very hard,tara putbol pakam do
Takar said that he'd be back soon,Takar nw nyiba bv akor re hvla hvpa
I'm here,ngo soka doodo
You're lying again,no mvvkor do
Don't waste my time,Ngo apo ngam raanv-rapv yo
I'm first,ngo cho pa
appropriation,kvrwk dvbv rinam
loosen by pulling,pugor
I have ended searching,ngo matar puku
You're my princess,no ngo gv kaangam nv nyemv
engaging someone for a work,kanam tvdo
15th April to 15th May,lwchar poolv
Give mother two kisses,anv nyi moopup anyi go jito
you are Tanya,no Tanya laka
Am I going too fast?,ngo vvba dwri?
I climb stairs,ngo koba chadvn
group of mithun is roamig,subu hv luukar du
I earn more money then you,nam ngo morko paabo yaado
I'm a man,ngo nyiki v
this leave is likely to be decayed,anu borgnv si yaayin do
Stand here,so dakto
give me that,olo naato
Don't open this box,jampa sim yeko mabv ka
Do you have a knife?,no ryochuk aku dodo?
"One for the dame,",Nyimv nvgv lvgabv akonv
By whom was this done?,So mvnv ngv hvyv?
Marry me,ngom nyimv naato
where is the collecting point of drain water?,sabik bichumv hugulo?
I lost,ngo nyeero
no reason to talk,mingkor kama
you always kick with legs,no lvpa ngv duki do
Takar has grown,Takar atv roku
Be a man,narbu bv rito
archer,iri apnv
4th day,api jinv alo
Do you not like Takar?,no Takar nyi chinchi ma?
Did you make coffee?,no koopi vm mvpv nv ri?
Aluminum is a metal,aluminiyum tamv ngv
Where is the house being built?,naam mvku hv hugu lo
Do you go to school?,No school vvdo nv?
You've made my day,no ngo gv alo vm mvpa
will tell it to yapa,yapa nyi mintam re
you talked too much,no abu jeebv mindo
tara please arrange one mithun for me,tara nga subu lo aku rungji labv kv
you come to my home after eating food,no achin dvpi La ngo naam aato
Go and sit around that haunted house,Olo param olo dookar tvi
Don't lose this key,mvtum nvnv sim ngemu mabv ka
while perfoming the ritual yumi uyu are also included,Hilo uyu mvri nyi yumi uyu vm ka mvdo
Do you like running?,no joknam vm jogia do?
tara's hand is small,tara alakv lakching do
Tadu's home is very hot,tadu gv naamv agu rvsok do
cut down the tip of tree,seenv gv arin na pamwk tho
aphrodisiac,yonww dvbv mvnv
Animal & husbandry minister,gumdu-pvrv ministvr
We will go to the market tomorrow.,Ngunu aru nyi bajar vvre.
where have you thrown the bamboo,hvju ha hugulo jooram pvnv
Takar helped us,Takar ngunu vm mvdor pa
I have been called to serve the Lord,Ngam Kristo gv kudungkua lvgabv gokpv kunv
covering body with cloth,iji pamdo
where have you misplaced the machete,orioka hugulo bva pvnv
tara is going,tara vvjii
I like balloons,ngo belun vm alvbv mwdo
arrival,aa
rain will fall over thr cloth,iji ha nyido ookee re
You run,no jokto
You're such a liar,no achvlv bv ryabnv go
Can you draw a picture?,no droying bwkchin do?
If I become like the mountains,ngo moodw gobv ribo lo
let’s listen to the good words that is written down.,Kaju atolaka ngunu tvla ju sogv alvnv gamrik minji nam sim.
if I happen to see I will return,ngo kaapa nvgu lo jire
I won!,ngo yaaro!
let yapa find it by herself,yapa nyi kaapa moosu tho
Bring your swimsuit,no gv isi jaanv iji vm bvla kv
you shoot first,no apcho tho
We lost,ngunu ngemu ro
I'm next,hokv ngo
just showing you that it is my house,ngo naam hvla kaatam namgu suma bv
we will eat the mithun meat day after tomorrow,subu anin vm ngunu ruv nyi dvre
 I ate little food,Ngo achin ache gu dvto
Let Takar roast meat,Takar ney addin baagv tho
an honourable person,mwwdv nv nyi
cut matured bamboo,hvju larbu lo pato
tara already took the money,tara morko naaro
I can run,ngo jokla do
let me try folding this,ngo so labkw laaju
I'm upset,ngo mwwdwk pa
They won,bww bulu yaapv ku
Don't listen to her,bww gv minam vm tvyo
if I become like the moon light,polo gobv ribo lo
I save,ngo chapkum pa
keep the ladder at the point where leg can reach,lvpa gv lvtar lo kooba nga gakpv tho
Look upward,Tolo bv kaadu to
15th January to 15th February,rajo poolv
Everything is ready,mwnww v koosa pa
allow the meat to cooldown after burning,addin so baaka tho
He has a bad temper,bww nyikv-nyirv bv doodo
grass in crop filed was removed,rongo nvmww mnga ooa ro
There is a church.,"gvrja gv ridung doodung,"
you are slow in counting,no kiyv do
arbor,torgii nvnv
I got fish. Mai come here.,Ngui papv ku. Mai aajo.
Lock it,vm yetum to
He became irritated,bww dwktwk gobv ripa
clean this jungle,myotum sim pagak to
Don't tell your dad,nokv abu ngam minyo
My paddy is not good this year,ngo amv sinying alv ma
iam tired of slicing this meat,so addin so ngo peylv kuma
year,anying
He does not walk fast,hv biapu bv vngma do
female mature mithun,senv
push the wooden log into a jungle,seepo poongv so myotum lo tuusum tho
What's your name?,No amin v hogv la?
Do you know any of them?,No akunv kaachin do?
A nap would be good,tamar yubnam vh alv re
see the seeing properly,kaanam v alvbv kaato ke
"At that time, Corinth was a great city of Greek rule, a great city in the district of Achaia in the Roman provinces.","Vbvriri hoka Korinth si nvgwngnv nyi riku dakku kairungnv Grik gv pamtv gubv rito, Roman mooku lo Akaia distrik gv pamtv kairungnv gubv rito."
Mai where are you?,Mai no hugulo?
You need a new hat,no bootuu nutun nv chinchi do
You taught us that,no ngunu vm sim mvsar pa
I not able to see,ngo kaapa nyuma
The child slept soundly,anga ngv himpy bv nyubpa
Takar paid,Takar dorro
drag this log around,seepo so dorkar tho
Do you have any brothers or sisters?,no gv buru burmv dopv lvri?
Fantastic!,mvpv kv!
She runs,bww jukdo
it is you all,nunu yukv
keep the most important part of opo(alcohol) for the guest,opo arin porin hv ajin ha apv jila ai
Aren't you going in?,no arww aama dvbv?
He drives very fast,v achvlv anyong bv jokdo
if you get lost in forest,no myotum lo nyeebo lo
Winter season,swkwr polo
too many,meegu jeegu
Wife,nyemv
My father wakes up in the early morning,ngo abu aru kangchi nyi guduu do
doing business,duurw twkar
Tapa comes here daily,Tapa soka loodak bv aado
one part became Chvngrvng-chijing for the earth,svching aku nv Chvngrvng-chijing bv ripv kunv
Construct a stairs to go upward,kooba baacha tho
edge of ginchi is tighten,ginchi naptw nga gamro
And finally,hokv
Did you believe Takar?,no Takar nyi mwwjii do?
you are the one I prayed for,no ngokv hillo kodung nv
I did not refuse,ngo ma hvma pa 
Takar put clean sheets on his bed,Takar nw gv dumpo lo iji darwk nv puchiik pa
priest is chanting,nyubu uyu bardo
my food is nearing finish,ngo achin dvnya daase rido
tie a rope around,osso rvvyik tho
tara is doing on its own way,tara rigwng bv ridu
he does not work hard,bv ator bv rima do
Goodbye!,alv bv vv lakv!
So long,achvlv asoo
Everybody's smiling together,nyi gwdw nyorbam do
Let's dismantle the house,Naam a tyak laaju
tapa came here,tapa so aaba 
neither I nor you,ngo ka ma ngo ka ma
Did I win?,ngo yaapv ri?
He gets up at seven,bww aru nyi apo ponv lo gurap do
baby have started talking,anga gaam japchin puku
Taka's home is very hot,Takar gv naamv ugu rvsok do
Everyone's doing it,nyi mwnww vm mvdo
The mithun was licking salt,Subu angv alu Ryakdey
"However, some people denied him and wrote about the unfaithfulness of him.",vbvrijvka nyi tunggonv ninyia rinyingla okv ninyia mvngjwng manam gv lvga nga lvkto.
yapa is demanding money,yapa morko dvku du
Don't say that word,hv gamchar vm jabma bv ka
You run,no jukla kv
road to leya is upsloping,leya lamda ngv chaaba do
Close the door,puppum vm koktum to
tara brought me up by telling lie,tara ngo ao ryabcha do
The sun is hot,donyi angv achvlv ugu do
Don't talk nonsense!,raabum-rasum yo!
Every day,alo diki bv
Takar looked like he was hesitant,Takar aji-ama gvri kaapa
I have given mithuns as your price,ngo arw-subu vm jiro ku
who have eaten the food,achin dvbu hvye la
Don't you know that?,vm no chima do?
I wear shoes,ngo shoes gepene
Back off,aakur to
killed,mvki
I am 8 years old.,ngo 8 nyinga pvku.
armanent,kvlar nvnv hidu
Go on,kv le
Takar is a cook,Takar angv achin mvria nv bv rido
Search for Ramesh,Ramesh nyi meykar to
My parents are in the village.,Nogv anv abu nampam lo dodo.
Husband's brother,ryu
Follow me,ngo kokwng aato
Beat it,vm domto
give us something to eat,ngunu vm dvsi gu jila bvkv
peel off this skin,apin so dwwlin tho
Are those your bags?,bw nogv tagiam ri?
He is kept on a cross and on a seal until his resurrection.,Ninyia daapo lo takkinam ha minla okv ninyigv turkurkunam lobv lvkgapla vvpvdu.
your father cursed me,no abu nga gamtv tvdo
the stick is tapering and sharp,seekio ngv nikki do
you come and sit just for namesake,no angam bvtwk bv aala doola ka
get injure by putting leg on dao,oryok dampi sure
Don't listen to Takar,Takar gv minam vm tvma bv ka
He cannot be a poet,v poem lwknv rinyu ram
shoot the bird,pvta ha ap to
Takar ran back into his apartment,Takar atu nv naam lo jokkur supa
now destroy the torn cloth by burning,iji jeyin olo ramaa tuku
Has he failed again?,nw lvko da bv yabor pvku nv bvre?
The Resurrection of Jesus (Matthew 16:1-8),Jisu gv turkurkunam (16:1-8)
high jump competition,pisin saakw sunam
He asked for a beer,v biar torgu kopa
You sound like Takar,no Takar nyi pakla kv
cleaning the dirts by rubbing the cloth,iji gv takik ka nukak
Do you have a favorite toy?,no gv alv yachuk nv ame dodo?
sit over here,so duupi tho
Get Takar to help you,Takar nyi nom mvdor dvbv so aamu to
this water is too hot,issi si ugu rvsok pv
When will be coming back?,Hwdw nyi aakur re?
arrange people for a work,nyii lo kikar tvki
we in this modern society,ngunu selu svcha so
Everyone was hungry,nyi mwnww ngv kano pa
around (time),polo lo
Jack and Jill went up the hill,Jak la Jill moodw lo vvcha pa
Fish is cheap today,svlu ngui daam v anyo do
Takar knows that Yapi kissed Tungon,Marry Tungon nyi moopup pvkv hvla Takar chindo
chase the mithun downward,subu ha lvkw so charlu tho
do not tell lie,mvvnam agam binma bvka
"Little Johnny wants to play,","Joni anyo go ridubv mwwdo,"
The rat was killed by Roji,Kobu angvm mvki bongv Roji
I am fine,ngo alv do
Tiger only eats meat,abvng-apa ngv adin dvmwng do
Takar nearly choked Yapi to death,Takar Yapi nyi nyumki daasv
He comes from Genoa,bww Genoa lokv aado
the omen predicted by tara is truth,tara ruu kaajii do
Tapor you wear the straw hat,Tapor no bootung vm binto
tara is married,tara nyimv naaro
I'm drunk,ngo oppo tvvto
The god will see,Donyi polo v kaare
that rooster is crowing by widening his mouth,rokpu nvngv agam kokda tvla kokdo
"Paul sent letters to the Romans, asking them to visit the church in Rome.",Paul gv Roman vdwa siti lvknam si ninyi Rom lo gvrja nyi vdwa kaalwk la ridubv vla rungnampanam am lvkto.
Fungus is growing in wooden log,Tayin nv seepo lo hargii do
This rope is very short,oso si addw pa
Takar put some salad on his plate,Takar nw gv tali lo uju-oo tolwk pa
"The gift of the Holy Spirit,","Darwknv Dow gv amin jinam,"
Takar never goes to school by bus,Takar lvku ka baas bv iskul vvma do
I was thinking and staying,ngo bvmw la doodo
Come again tomorrow,aru nyi lvku akur to
my sister is also doing work,ngo anyi ka kaam ridu
carry firewood and boulder together,vsii ngv la vlw nga gvyoo to
I study at VKV Kuporijo.,VKV Kuporijo lo ngo puri do.
Why did your father call me?,No abu hugu bv ngam gokdo?
The goat is giving birth,yabin hv kuu bvvdu
you are the one I chanted for,no ngokv yuutv bardung nv
a man,nyii gu
What's your favorite animal?,no gv mingbu svning svmin hyvla
Pungto take care of your sister okay,Pungto no burmv vm alvbv vngv lana ai
come on eat fast,nyiba achin dvgor tv ki
Competition is good,minsu-sunam ngv alv do
dig out soil using a hoe,kuutar lokv kedv haplin do
Don't go in my room,ngo popum lo aama bv ka
He has a big family,v gv tvtw nv ugu doodo
"I am Ram, son of King Dasharatha and Queen Kaushalya,","Ngo Ram, Dvbv Dasharath la Dvnv Kaushalya gv kuu nyilo ngv,"
I will eat,ngo dvree
Every minute counts,apo anyio ngv ka arind do
He cannot be a poet,bww poem lwknv rinyu ram
Leave us,ngunu vm apak to
Everybody's smiling,nyi mwlww ngv nyordo
Visitors have eaten food,Aanv nyi achin dvro
you too shall leave your mark on anything you choose to,no ka hugu mwnww lo atu gv rvri-rvgo vm mvu re
She saw a sparrow dip her beak into the cactus for some water,pvta-pvchik aku tav seenv lo nw gv hibung vm nwwlwk tvla isi burapnam apu angv kaato
Takar sat cross-legged on the bed,Takar cheegw pootam tvla kargia log doopa
crush with teeth,hijung kojap
I will never let you take me away,nom vh nala vvgv koma re
give back my money,ngo morko nga jikor laku ka
distribute this cloth among yourself,iji so nonu horpin suto
You'll feel better,no alv himpa re
finished apple by eating,apple dvngam ro
Watch us,ngunu vm kaato
Taro is disapproving you,taro nam chee hvdo
Give me what I want,ngo hugu naanww do ngom jito
Amarasa’s struggle between good and evil and the division of the household: 5:1-7:40,Amarasa minsu kolo alv okv alvmanam okv vpin gv gwngdungsingdung: 5:1—7:40
The Work of Paul (Matthew 13:1-28:31),Paul gv kudungkua rinam (13:1—28:31)
Go ahead,vvcho to
tanu is tall,tanu ao do
Don't speak so fast,ayong bv agam jabyo
you might falldown,no hoolu daapv
He entered the army,v sipai lo aaro ku
I touch my face,ngo ngogv nyokmu vm hindo
yapa is grown up,yapa atv puku
my body has become tired,ngo ayakv adar-abar puku
It’s written and everything that the people want to eat is written in this scroll.,minla lvkgapla vvpvvdu okv nyi vdwgv dinchinam mvnwng nga so Gamlv soka doolwk dunv vla lvklin jipv .
try searching upward,to madung kaato
I am fat,ngo abv do
Atusii is like the spiritual male form of the earth,Atusii hvnam si Sii uyu gv abuapa bv rila dooku nvgu
tara's home is very hot,tara naam hv ugu rvsok do
tara is not a worthy person,tara nyigung-nyia ma
Cheer up!,himpu bv mvto!
Did I mess up again?,ngo lvku go apiom ariom pvnv ri?
my father is also doing work,ngo abu ka kaam rido
roaming in jungle without food,myotum ramkar do
Yesterday I ate rice,ngo meeru achin dvpa
appall,mvlam
the animals agreed in unison,senwng-semin mwnww ngv akin bv dodv bv hvla minto
Takar is alone,Takar ajin kaama do
Thank you.,umbonyi.
I will go to school.,ngo iskuul vngre.
lets decide the matter between us,ngonyi gv agam so gamrw laaju
"But there are voices that aren’t in the Law, but are in the Spirit, and they are the voices of the angels.","Kvvbi Gamlv lo kaama gvrila, so doomwngnv, gaam vkv doodu, ho vdwv nyidogindung vdwgv mirimimpak minamgv higu;"
who was that?,hvye bvre?
beat it,vm dvvto
I'm sober,ngo kabdu do
my babay is healthy,ngo anga paabok do
the road is blocked by landslide,lamda nga rachik chiktum do
Everything is ready,mwlww v koosa pa
if you have some money then give me,morko achar-abar gu dobo lo jito ke
One day he told them a joke and everyone roared in laughter,Lvku nw mwwnyar nv gam aku soojinam vm nyi mvnww ngv ngar-ngar bv nyorpa
give change of this money,morko so ajar tho
Be a good man,alv nv nyi gubv rila ka
Everybody loves Takar,nyi mwnww Takar nyi aya do
give ten rupees,morko acham gu jito
Takar never finishes his homework,Takar atu gv homuark vm lvku ka mvngam ma
You're not my choice,no ngo gv damnv nv ma
mithuns are grazing,subu v nvmw dvdu
You must be polite,no arw lo alv ka pvso 
I am well,ngo alv do
My friend is from Dapo,Ngo ajen si Dapo lokv
